"Supplementary Table 1. List of all nominal species described from the Philippines, current status, & current valid name. Note: V–valid, VE–endemic to the Philippine waters, X–invalid.",,,221,,,,,,,,,,,,,,,,,,,,,,
Original ScientificName,Status,ValidAs/Remarks,,,,,,,,,,,,,,,,,,,,,,,
ORDER MYXINIFORMES (1),,,,,,,,,,,,,,,,,,,,,,,,,
Family Myxinidae (1),,,,,,,,,,,,,,,,,,,,,,,,,
"Eptatretus fernholmi McMillan & Wisner, 2004",V,"Eptatretus luzonicus Fernholm, Norén, Kull&er, Quattrini, Zintzen, Roberts, Mok & Kuo, 2013",,,,,,,,,,,,,,,,,,,,,,,
"Eptatretus strahani McMillan & Wisner, 1984",V,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER CHIMAERIFORMES (3),,,,,,,,,,,,,,,,,,,,,,,,,
Family Chimaeridae (7),,,,,,,,,,,,,,,,,,,,,,,,,
"Chimaera deani Smith & Radcliffe, 1912",VE,"Hydrolagus deani (Smith & Radcliffe, 1912)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER CARCHARHINIFORMES (7),,,,,,,,,,,,,,,,,,,,,,,,,
Family Proscylliidae (24),,,,,,,,,,,,,,,,,,,,,,,,,
"Eridacnis radcliffei Smith, 1913",V,,,,,,,,,,,,,,,,,,,,,,,,
Family Pseudotriakidae (25),,,,,,,,,,,,,,,,,,,,,,,,,
"Gollum suluensis Last & Gaudiano, 2011",VE,,,,,,,,,,,,,,,,,,,,,,,,
Family Triakidae (27),,,,,,,,,,,,,,,,,,,,,,,,,
"Hemitriakis leucoperiptera Herre, 1923",VE,,,,,,,,,,,,,,,,,,,,,,,,
Family Pentanchidae,,,,,,,,,,,,,,,,,,,,,,,,,
"Galeus friedrichi Ebert & Jang, 2022",V,,,,,,,,,,,,,,,,,,,,,,,,
"Galeus schultzi Springer, 1979",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Pentanchus herklotsi Fowler, 1934",V,"Apristurus herklotsi (Fowler, 1934)",,,,,,,,,,,,,,,,,,,,,,,
"Pentanchus profundicolus Smith & Radcliffe, 1912",V,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER SQUALIFORMES (9),,,,,,,,,,,,,,,,,,,,,,,,,
Family Centrophoridae (33),,,,,,,,,,,,,,,,,,,,,,,,,
"Nasisqualus profundorum Smith & Radcliffe, 1912",V,"Deania profundorum (Smith & Radcliffe, 1912)",,,,,,,,,,,,,,,,,,,,,,,
Family Etmopteridae (34),,,,,,,,,,,,,,,,,,,,,,,,,
"Etmopterus brachyurus Smith & Radcliffe, 1912",V,,,,,,,,,,,,,,,,,,,,,,,,
"Etmopterus marshae Ebert & Van Hees, 2018",VE,,,,,,,,,,,,,,,,,,,,,,,,
Family Dalatiidae (37),,,,,,,,,,,,,,,,,,,,,,,,,
"Squaliolus laticaudus Smith & Radcliffe, 1912",V,"Squaliolus laticaudus Smith & Radcliffe, 1912",,,,,,,,,,,,,,,,,,,,,,,
Family Squalidae (38),,,,,,,,,,,,,,,,,,,,,,,,,
"Squalus philippinus Smith & Radcliffe, 1912",X,"Squalus montalbani Whitley, 1931",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER SQUATIFORMES (11),,,,,,,,,,,,,,,,,,,,,,,,,
Family Squatinidae (40),,,,,,,,,,,,,,,,,,,,,,,,,
"Squatina caillieti Walsh, Ebert & Compagno, 2011\",VE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER PRISTIOPHORIFORMES (12),,,,,,,,,,,,,,,,,,,,,,,,,
Family Pristiophoridae (41),,,,,,,,,,,,,,,,,,,,,,,,,
"Pristiophorus lanae Ebert & Wilms, 2013",VE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER RAJIFORMES (14),,,,,,,,,,,,,,,,,,,,,,,,,
Family Rajidae (44),,,,,,,,,,,,,,,,,,,,,,,,,
"Dipturus amphispinus Last & Alava, 2013",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Okamejei panayensis Misawa, Babaran & Motomura, 2022",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Okamejei jensenae Last & Lim, 2010",V,"Orbiraja jensenae (Last & Lim, 2010)",,,,,,,,,,,,,,,,,,,,,,,
Family Arhynchobatidae,,,,,,,,,,,,,,,,,,,,,,,,,
"Notoraja subtilispinosa Stehmann, 1989",V,"Insentiraja subtilispinosa (Stehmann, 1989)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER PRISTIFORMES (15),,,,,,,,,,,,,,,,,,,,,,,,,
Family Rhinobatidae (45),,,,,,,,,,,,,,,,,,,,,,,,,
"Rhinobatos whitei Last, Corrigan & Naylor, 2014",VE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER NOTACANTHIFORMES (25),,,,,,,,,,,,,,,,,,,,,,,,,
Family Halosauridae (71),,,,,,,,,,,,,,,,,,,,,,,,,
"Halosaurus mediorostris Günther, 1887",V,"Aldrov&ia mediorostris (Günther, 1887)",,,,,,,,,,,,,,,,,,,,,,,
"Halosauropsis ridgwayi Fowler, 1934",VE,"Halosaurus ridgwayi (Fowler, 1934)",,,,,,,,,,,,,,,,,,,,,,,
Family Notacanthidae (72),,,,,,,,,,,,,,,,,,,,,,,,,
"Notacanthus abbotti Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER ANGUILLIFORMES (26),,,,,,,,,,,,,,,,,,,,,,,,,
Family Synaphobranchidae (74),,,,,,,,,,,,,,,,,,,,,,,,,
"Dysomma dolichosomatum Karrer, 1983",V,,,,,,,,,,,,,,,,,,,,,,,,
"Ilyophis robinsae Sulak & Shcherbachev, 1997",VE,,,,,,,,,,,,,,,,,,,,,,,,
Family Muraenidae (77),,,,,,,,,,,,,,,,,,,,,,,,,
"Anarchias reticulatus Herre, 1923",X,"Uropterygius micropterus (Bleeker, 1852)",,,,,,,,,,,,,,,,,,,,,,,
"Diaphenchelys laimospila Huang, Smith & Liao, 2021",V,,,,,,,,,,,,,,,,,,,,,,,,
"Gymnothorax annulatus Smith & Böhlke, 1997",V,,,,,,,,,,,,,,,,,,,,,,,,
"Gymnothorax brunneus Herre, 1923",X,"Gymnothorax herrei Beebe & Tee-Van, 1933",,,,,,,,,,,,,,,,,,,,,,,
"Gymnothorax herrei Beebe & Tee-Van, 1933",V,,,,,,,,,,,,,,,,,,,,,,,,
"Gymnothorax indong Seale, 1910",X,"Gymnothorax zonipectis Seale, 1906",,,,,,,,,,,,,,,,,,,,,,,
"Gymnothorax microstictus Böhlke, 2000",V,,,,,,,,,,,,,,,,,,,,,,,,
"Gymnothorax philippinus Jordan & Seale, 1907",V,,,,,,,,,,,,,,,,,,,,,,,,
"Gymnothorax pseudoherrei Böhlke, 2000",V,,,,,,,,,,,,,,,,,,,,,,,,
"Gymnothorax pseudokidako Huang, Loh & Liao, 2021",V,,,,,,,,,,,,,,,,,,,,,,,,
"Gymnothorax samalensis Seale, 1910",X,"Gymnothorax chilospilus Bleeker, 1864",,,,,,,,,,,,,,,,,,,,,,,
"Uropterygius mactanensis Huang, Balisco, Evacitas & Liao, 2023",VE,,,,,,,,,,,,,,,,,,,,,,,,
Family Ophichthidae (80),,,,,,,,,,,,,,,,,,,,,,,,,
"Benthenchelys cartieri Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Brachysomophis umbonis McCosker & Randall, 2001",V,,,,,,,,,,,,,,,,,,,,,,,,
"Caecula mindora Jordan & Richardson, 1908",V,"Lamnostoma mindora (Jordan & Richardson, 1908)",,,,,,,,,,,,,,,,,,,,,,,
"Caecula philippinensis Herre, 1936",VE,"Yirrkala philippinensis (Herre, 1936)",,,,,,,,,,,,,,,,,,,,,,,
"Caecula taylori Herre, 1923",X,"Lamnostoma mindora (Jordan & Richardson, 1908)",,,,,,,,,,,,,,,,,,,,,,,
"Callechelys myersi Herre, 1932",VE,"Bascanichthys myersi (Herre, 1932)",,,,,,,,,,,,,,,,,,,,,,,
"Chlevastes elaps Fowler, 1912",X,"Myrichthys colubrinus (Boddaert, 1781)",,,,,,,,,,,,,,,,,,,,,,,
"Jenkinsella oliveri Seale, 1910",VE,"Cirrhimuraena oliveri (Seale, 1910)",,,,,,,,,,,,,,,,,,,,,,,
"Jenkinsiella nectura Jordan, 1907",X,"Cirrhimuraena tapeinoptera Bleeker, 1863",,,,,,,,,,,,,,,,,,,,,,,
"Leiuranus lithinus Jordan & Richardson, 1908",V,"Ophichthus lithinus (Jordan & Richardson, 1908)",,,,,,,,,,,,,,,,,,,,,,,
"Muraenichthys malabonensis Herre, 1923",X,,,,,,,,,,,,,,,,,,,,,,,,
"Muraenichthys philippinensis Schultz & Woods, 1949",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Muraenichthys retropinnis Fowler, 1934",V,"Schultzidia retropinnis (Fowler, 1934)",,,,,,,,,,,,,,,,,,,,,,,
"Muraenichthys thompsoni Jordan & Richardson, 1908",V,,,,,,,,,,,,,,,,,,,,,,,,
"Muraenichthys velinasalis Hibino & Kimura, 2015",V,,,,,,,,,,,,,,,,,,,,,,,,
"Myrichthys paleracio McCosker & Allen, 2012",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Ophichthus manilensis Herre, 1923",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Ophichthus tomioi McCosker, 2010",V,,,,,,,,,,,,,,,,,,,,,,,,
"Pisodonophis copelandi Herre, 1953",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Pisodonophis macgregori Jordan & Richardson, 1908",X,"Pisodonophis cancrivorus (Richardson, 1848)",,,,,,,,,,,,,,,,,,,,,,,
"Pylorobranchus hearstorum McCosker, 2014",V,,,,,,,,,,,,,,,,,,,,,,,,
"Scolecenchelys brevicaudata Hibino & Kimura, 2015",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Skythrenchelys zabra Castle & McCosker, 1999",V,,,,,,,,,,,,,,,,,,,,,,,,
Family Nettastomatidae (82),,,,,,,,,,,,,,,,,,,,,,,,,
"Nettastoma solitarium Castle & Smith, 1981",V,,,,,,,,,,,,,,,,,,,,,,,,
"Saurenchelys taiwanensis Karmovskaya, 2004",V,,,,,,,,,,,,,,,,,,,,,,,,
Family Congridae (83),,,,,,,,,,,,,,,,,,,,,,,,,
"Ariosoma obud Herre, 1923",VE,"Ariosoma obud Herre, 1923",,,,,,,,,,,,,,,,,,,,,,,
"Ariosoma sazonovi Karmovskaya, 2004",VE,"Ariosoma sazonovi Karmovskaya, 2004",,,,,,,,,,,,,,,,,,,,,,,
"Arisoma brachyrhynchus Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Bathycongrus bleekeri Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Bathycongrus stimpsoni Fowler, 1934",X,"Bathycongrus guttulatus (Günther, 1887)",,,,,,,,,,,,,,,,,,,,,,,
"Bathycongrus megalops Fowler ,1934",X,"Bathycongrus retrotinctus (Jordan & Snyder, 1901)",,,,,,,,,,,,,,,,,,,,,,,
"Bathycongrus villosus Smith, Karmovskaya & da Silva, 2020",V,,,,,,,,,,,,,,,,,,,,,,,,
"Bathyuroconger fowleri Smith, Ho & Tashiro, 2018",V,,,,,,,,,,,,,,,,,,,,,,,,
"Chiloconger philippinensis Smith & Karmovskaya, 2003",V,,,,,,,,,,,,,,,,,,,,,,,,
"Conger macrocephalus Kanazawa, 1958",V,,,,,,,,,,,,,,,,,,,,,,,,
"Conger philippinus Kanazawa, 1958",V,,,,,,,,,,,,,,,,,,,,,,,,
"Congrhynchus talabonoides Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Gnathophis asanoi Karmovskaya, 2004",V,,,,,,,,,,,,,,,,,,,,,,,,
"Gorgasia preclara Böhlke & Randall, 1981",V,,,,,,,,,,,,,,,,,,,,,,,,
