"Heteroconger perissodon Böhlke & Randall, 1981",V,,,,,,,,,,,,,,,,,,,,,,,,
"Parabathymyrus philippinensis Ho, Smith & Shao, 2015",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Rostroconger macrouriceps Smith, 2018",V,,,,,,,,,,,,,,,,,,,,,,,,
"Silvesterina parvibranchialis Fowler, 1934",V,"Bathyuroconger parvibranchialis (Fowler, 1934)",,,,,,,,,,,,,,,,,,,,,,,
"Taenioconger chapmani Herre, 1923",V,"Heteroconger chapmani (Herre, 1923)",,,,,,,,,,,,,,,,,,,,,,,
"Taenioconger naeocepaeus Böhlke, 1951",V,"Gorgasia naeocepaea (Böhlke, 1951)",,,,,,,,,,,,,,,,,,,,,,,
Family Moringuidae (84),,,,,,,,,,,,,,,,,,,,,,,,,
"Moringua cagayana Seale, 1910",X,"Moringua guthriana (McClelland, 1844)",,,,,,,,,,,,,,,,,,,,,,,
"Moringua penni Schultz, 1953",V,,,,,,,,,,,,,,,,,,,,,,,,
"Moringua robusta Herre, 1923",X,"Moringua raitaborua (Hamilton, 1822)",,,,,,,,,,,,,,,,,,,,,,,
Family Anguillidae (91),,,,,,,,,,,,,,,,,,,,,,,,,
"Anguilla huangi Teng, Lin & Tzeng, 2009",X,"Anguilla luzonensis Watanabe, Aoyama & Tsukamoto, 2009",,,,,,,,,,,,,,,,,,,,,,,
"Anguilla luzonensis Watanabe, Aoyama & Tsukamoto, 2009",V,,,,,,,,,,,,,,,,,,,,,,,,
"Muraena manillensis Bleeker, 1864",X,"Anguilla marmorata Quoy & Gaimard, 1824",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER CLUPEIFORMES (29),,,,,,,,,,,,,,,,,,,,,,,,,
Family Engraulidae (100),,,,,,,,,,,,,,,,,,,,,,,,,
"Stolephorus oligobranchus Wongratana, 1983",V,"Encrasicholina oligobranchus (Wongratana, 1983)",,,,,,,,,,,,,,,,,,,,,,,
"Stolephorus babarani Hata, Lavoué & Motomura, 2020",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Stolephorus insignus Hata & Motomura, 2018",V,,,,,,,,,,,,,,,,,,,,,,,,
"Stolephorus mercurius Hata, Lavoue & Motomura, 2021",V,,,,,,,,,,,,,,,,,,,,,,,,
"Stolephorus ronquilloi Wongratana, 1983",VE,,,,,,,,,,,,,,,,,,,,,,,,
Family Clupeidae (102),,,,,,,,,,,,,,,,,,,,,,,,,
"Clupea manulensis Marion de Procé, 1822",X,An overlooked available name.,,,,,,,,,,,,,,,,,,,,,,,
Family Dorosomatidae,,,,,,,,,,,,,,,,,,,,,,,,,
"Sardinella goni Stern, Rinkevich & Goren, 2016",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Sardinella pacifica Hata & Motomura, 2019",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Harengula tawilis Herre, 1927",VE,,,,,,,,,,,,,,,,,,,,,,,,
Family Dussumieriidae,,,,,,,,,,,,,,,,,,,,,,,,,
"Etrumeus albulina Fowler, 1934",V,"Dussumieria albulina (Fowler, 1934)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER ALEPOCEPHALIFORMES (30),,,,,,,,,,,,,,,,,,,,,,,,,
Family Alepocephalidae (105),,,,,,,,,,,,,,,,,,,,,,,,,
"Alepocephalus andersoni Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Bathytroctes harperi Fowler, 1934",X,"Rouleina attrita (Vaillant, 1888)",,,,,,,,,,,,,,,,,,,,,,,
"Leptoderma retropinna Fowler, 1943",V,,,,,,,,,,,,,,,,,,,,,,,,
"Narcetes lloydi Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Rouleina danae Parr, 1951",V,,,,,,,,,,,,,,,,,,,,,,,,
"Rouleina euryops Sazonov, 1999",V,,,,,,,,,,,,,,,,,,,,,,,,
"Xenodermichthys funebris Fowler, 1943",X,"Rouleina squamilatera (Alcock, 1898)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER CYPRINIFORMES (32),,,,,,,,,,,,,,,,,,,,,,,,,
Family Cyprinidae (109),,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes amara Herre, 1924",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes baoulan Herre, 1926",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes clemensi Herre, 1924",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes disa Herre, 1932",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes flavifuscus Herre, 1924",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes hemictenus Jordan & Richardson, 1908",V,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes katolo Herre, 1924",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes lanaoensis Herre, 1924",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes lindog Herre, 1924",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes manalak Herre, 1924",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes palata Herre, 1924",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes pyrpholeos Tan & Husana, 2021",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes sirang Herre, 1932",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes tras Herre, 1926",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbodes tumba Herre, 1924",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Barbus bantolanensis Day, 1914",X,"Barbodes manguaoensis (Day, 1914)",,,,,,,,,,,,,,,,,,,,,,,
"Barbus cataractae Fowler, 1934",VE,"Barbodes cataractae (Fowler, 1934)",,,,,,,,,,,,,,,,,,,,,,,
"Barbus herrei Fowler, 1934",VE,"Barbodes herrei (Fowler, 1934)",,,,,,,,,,,,,,,,,,,,,,,
"Barbus ivis Seale, 1910",VE,"Barbodes ivis (Seale, 1910)",,,,,,,,,,,,,,,,,,,,,,,
"Barbus manguaoensis Day, 1914",VE,"Barbodes manguaoensis (Day, 1914)",,,,,,,,,,,,,,,,,,,,,,,
"Barbus palavanensis Boulenger, 1895",VE,"Barbodes palavanensis (Boulenger, 1895)",,,,,,,,,,,,,,,,,,,,,,,
"Barbus quinquemaculatus Seale & Bean, 1907",VE,"Barbodes quinquemaculatus (Seale & Bean, 1907)",,,,,,,,,,,,,,,,,,,,,,,
"Cephalakompsus pachycheilus Herre, 1924",VE,"Barbodes pachycheilus (Herre, 1924)",,,,,,,,,,,,,,,,,,,,,,,
"Cyclocheilichthys schoppeae Cervancia & Kottelat, 2007",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Cyrene cyanopareja Heckel, 1843",X,"Osteochilus vittatus (Valenciennes, 1842)",,,,,,,,,,,,,,,,,,,,,,,
"M&ibularca resinus Herre, 1924",VE,"Barbodes resinus (Herre, 1924)",,,,,,,,,,,,,,,,,,,,,,,
"Ospatulus palaemophagus Herre, 1924",VE,"Barbodes palaemophagus (Herre, 1924)",,,,,,,,,,,,,,,,,,,,,,,
"Ospatulus truncatulus Herre, 1924",VE,"Barbodes truncatulus (Herre, 1924)",,,,,,,,,,,,,,,,,,,,,,,
"Puntius joaquinae Wood, 1968",VE,"Barbodes joaquinae (Wood, 1968)",,,,,,,,,,,,,,,,,,,,,,,
"Puntius montanoi Sauvage, 1881",VE,"Barbodes montanoi (Sauvage, 1881)",,,,,,,,,,,,,,,,,,,,,,,
"Puntius umalii Wood, 1968",VE,"Barbodes umalii (Wood, 1968)",,,,,,,,,,,,,,,,,,,,,,,
Family Danionidae,,,,,,,,,,,,,,,,,,,,,,,,,
"Mearnsella alestes Seale & Bean, 1907",VE,"Nematabramis alestes (Seale & Bean, 1907)",,,,,,,,,,,,,,,,,,,,,,,
"Nematabramis verecundus Herre, 1924",X,"Nematabramis alestes (Seale & Bean, 1907)",,,,,,,,,,,,,,,,,,,,,,,
"Rasbora everetti Boulenger, 1895",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Rasbora philippina Günther, 1880",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Rasbora punctulatus Seale & Bean, 1907",X,"Rasbora philippina Günther, 1880",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER SILURIFORMES (34),,,,,,,,,,,,,,,,,,,,,,,,,
Family Siluridae (149),,,,,,,,,,,,,,,,,,,,,,,,,
"Hito taytayensis Herre, 1924",VE,"Pterocryptis taytayensis (Herre, 1924)",,,,,,,,,,,,,,,,,,,,,,,
"Penesilurus palavanensis Herre, 1924",X,"Pterocryptis taytayensis (Herre, 1924)",,,,,,,,,,,,,,,,,,,,,,,
Family Clariidae (169),,,,,,,,,,,,,,,,,,,,,,,,,
"Clarias gilli Smith & Seale, 1906",X,"Clarias nieuhofii Valenciennes, 1840",,,,,,,,,,,,,,,,,,,,,,,
Family Ariidae (172),,,,,,,,,,,,,,,,,,,,,,,,,
"Arius dispar Herre, 1926",V,,,,,,,,,,,,,,,,,,,,,,,,
"Arius magatensis Herre, 1926",VE,"Plicofollis magatensis (Herre, 1926)",,,,,,,,,,,,,,,,,,,,,,,
"Arius manillensis Valenciennes, 1840",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Arius venosus Valenciennes, 1840",V,,,,,,,,,,,,,,,,,,,,,,,,
"Netuma patriciae Takahashi, Kimura & Motomura, 2019",VE,,,,,,,,,,,,,,,,,,,,,,,,
"Pimelodus manillensis Valenciennes, 1840",VE,"Cephalocassis manillensis (Valenciennes, 1840)",,,,,,,,,,,,,,,,,,,,,,,
"Pseudarius philippinus Sauvage, 1880",X,"Arius manillensis Valenciennes, 1840",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER ARGENTINIFORMES (39),,,,,,,,,,,,,,,,,,,,,,,,,
Family Opisthoproctidae (191),,,,,,,,,,,,,,,,,,,,,,,,,
"Dolichopteryx andriashevi Parin, Belyanina & Evseenko, 2009",V,,,,,,,,,,,,,,,,,,,,,,,,
Family Microstomatidae (192),,,,,,,,,,,,,,,,,,,,,,,,,
"Microstoma schmitti Fowler, 1934",VE,"Nansenia schmitti (Fowler, 1934)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER AULOPIFORMES (44),,,,,,,,,,,,,,,,,,,,,,,,,
Family Synodontidae (205),,,,,,,,,,,,,,,,,,,,,,,,,
"Synodus fasciapelvicus Randall, 2009",V,,,,,,,,,,,,,,,,,,,,,,,,
"Synodus pacificus Ho, Chen & Shao, 2016",V,,,,,,,,,,,,,,,,,,,,,,,,
"Synodus tectus Cressey, 1981",V,,,,,,,,,,,,,,,,,,,,,,,,
Family Paralepididae (218),,,,,,,,,,,,,,,,,,,,,,,,,
"Chlorophtalmus brevirostris Fourmanoir, 1981",V,"Paraulopus brevirostris (Fourmanoir, 1981)",,,,,,,,,,,,,,,,,,,,,,,
"Paralepis philippinus Fowler, 1934",X,"Lestrolepis japonica (Tanaka, 1908)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER MYCTOPHIFORMES (45),,,,,,,,,,,,,,,,,,,,,,,,,
Family Neoscopelidae (221),,,,,,,,,,,,,,,,,,,,,,,,,
"Solivomer arenidens Miller, 1947",V,,,,,,,,,,,,,,,,,,,,,,,,
Family Myctophidae (222),,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus aliciae Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus ashmeadi Fowler, 1934",X,"Diaphus garmani Gilbert, 1906",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus bryani Fowler, 1934",X,"Diaphus burtoni Fowler, 1934",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus burtoni Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus carlsoni Fowler, 1934",X,"Diaphus jenseni Tåning, 1932",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus dehaveni Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus ehrhorni Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus faustinoi Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus gudgeri Fowler, 1934",X,"Diaphus jenseni Tåning, 1932",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus handi Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus harveyi Fowler, 1934",X,"Diaphus richardsoni Tåning, 1932",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus kendalli Fowler, 1934",X,"Diaphus parri Tåning, 1932",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus kylei Tåning, 1932",X,"Diaphus jenseni Tåning, 1932",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus layi Fowler, 1934",X,"Diaphus aliciae Fowler, 1934",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus longleyi Fowler, 1934",X,"Diaphus parri Tåning, 1932",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus lucifrons Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus meyeri Fowler, 1934",X,"Diaphus malayanus Weber, 1913",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus monodi Fowler, 1934",X,"Diaphus lucidus (Goode & Bean, 1896)",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus phillipsi Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus reidi Fowler, 1934",X,"Diaphus lucidus (Goode & Bean, 1896)",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus rivatoni Bourret, 1985",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus streetsi Fowler, 1934",X,"Diaphus termophilus Tåning, 1928",,,,,,,,,,,,,,,,,,,,,,,
"Diaphus thiollierei Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus umbroculus Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Diaphus whitleyi Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
"Myctophum gilberti Evermann & Seale, 1907",X,"Benthosema pterotum (Alcock, 1890)",,,,,,,,,,,,,,,,,,,,,,,
"Serpa blacki Fowler, 1934",X,"Bolinichthys pyrsobolus (Alcock, 1890)",,,,,,,,,,,,,,,,,,,,,,,
"Serpa turneri Fowler, 1934",V,"Lampanyctus turneri (Fowler, 1934)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER ZEIFORMES (49),,,,,,,,,,,,,,,,,,,,,,,,,
Family Parazenidae (235),,,,,,,,,,,,,,,,,,,,,,,,,
"Zen cypho Fowler, 1934",V,"Cyttopsis cypho (Fowler, 1934)",,,,,,,,,,,,,,,,,,,,,,,
Family Grammicolepididae (237),,,,,,,,,,,,,,,,,,,,,,,,,
"Macrurocyttus acanthopodus Fowler, 1934",V,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORDER GADIFORMES (51),,,,,,,,,,,,,,,,,,,,,,,,,
Family Bathygadidae (242),,,,,,,,,,,,,,,,,,,,,,,,,
